Company,Industry,City,Careers Site URL,Company_Size,Primary_Source,Indeed_URL,AngelList_URL,Glassdoor_URL,Backup_Strategy,Careers URL,Indeed Search
Axon,Public Safety,,https://www.axon.com/careers/all,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Axon""&l=nan,CO",,https://www.glassdoor.com/Jobs/Axon-Jobs-E12345.htm,"careers_page,indeed",,
BeSmartee,Fintech,,https://www.besmartee.com/careers/#jobs,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""BeSmartee""&l=nan,CO",,https://www.glassdoor.com/Jobs/BeSmartee-Jobs-E12345.htm,"careers_page,indeed",,
Better,Fintech,,https://jobs.lever.co/better,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Better""&l=nan,CO",,https://www.glassdoor.com/Jobs/Better-Jobs-E12345.htm,"careers_page,indeed",,
BiggerPockets,Real Estate Technology,Denver,https://www.biggerpockets.com/careers,Small,careers_page,"https://www.indeed.com/jobs?q=company:""BiggerPockets""&l=Denver,CO",https://angel.co/company/biggerpockets/jobs,https://www.glassdoor.com/Jobs/BiggerPockets-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
BillingPlatform,Enterprise Software,Centennial,https://apply.workable.com/billingplatform-1/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""BillingPlatform""&l=Centennial,CO",,https://www.glassdoor.com/Jobs/BillingPlatform-Jobs-E12345.htm,"careers_page,indeed",,
Billtrust,Other,Denver,https://apply.workable.com/billingplatform-1/#jobs,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Billtrust""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Billtrust-Jobs-E12345.htm,"careers_page,indeed",,
Bilt Rewards,Fintech,,https://www.biltrewards.com/p/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Bilt Rewards""&l=nan,CO",,https://www.glassdoor.com/Jobs/Bilt-Rewards-Jobs-E12345.htm,"careers_page,indeed",,
Blend,Other,,https://blend.com/company/careers/job-openings/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Blend""&l=nan,CO",,https://www.glassdoor.com/Jobs/Blend-Jobs-E12345.htm,"careers_page,indeed",,
Bombora,Marketing Technology,Denver,https://bombora.com/about/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Bombora""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Bombora-Jobs-E12345.htm,"careers_page,indeed",,
Brandfolder (Smartsheet Company),Other,Denver,https://brandfolder.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Brandfolder (Smartsheet Company)""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Brandfolder-(Smartsheet-Company)-Jobs-E12345.htm,"careers_page,indeed",,
Brightfin,Other,Centennial,https://brightfin.bamboohr.com/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Brightfin""&l=Centennial,CO",,https://www.glassdoor.com/Jobs/Brightfin-Jobs-E12345.htm,"careers_page,indeed",,
Brightwave,Fintech,,,Small,job_boards,"https://www.indeed.com/jobs?q=company:""Brightwave""&l=nan,CO",https://angel.co/company/brightwave/jobs,https://www.glassdoor.com/Jobs/Brightwave-Jobs-E12345.htm,"indeed,angellist,glassdoor",https://www.linkedin.com/company/brightwaveio/jobs/,
Brightwheel,Education Technology,Denver,https://jobs.lever.co/brightwheel,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Brightwheel""&l=Denver,CO",,https://www.glassdoor.com/Jobs/Brightwheel-Jobs-E12345.htm,"careers_page,indeed",,
burstIQ,Analytics & AI,Denver,https://burstiq.com/careers/,Small,careers_page,"https://www.indeed.com/jobs?q=company:""burstIQ""&l=Denver,CO",https://angel.co/company/burstiq/jobs,https://www.glassdoor.com/Jobs/burstIQ-Jobs-E12345.htm,"indeed,angellist,glassdoor",,
C-Zentrix,Other,,https://www.c-zentrix.com/careers,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""C-Zentrix""&l=nan,CO",,https://www.glassdoor.com/Jobs/C-Zentrix-Jobs-E12345.htm,"careers_page,indeed",,
Call Center Studio,Other,,,Medium,job_boards,"https://www.indeed.com/jobs?q=company:""Call Center Studio""&l=nan,CO",,https://www.glassdoor.com/Jobs/Call-Center-Studio-Jobs-E12345.htm,"careers_page,indeed",,
Carbyne,Communications,,https://carbyne.com/company/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Carbyne""&l=nan,CO",,https://www.glassdoor.com/Jobs/Carbyne-Jobs-E12345.htm,"careers_page,indeed",,
Case Closed,Public Safety,,https://www.caseiq.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Case Closed""&l=nan,CO",,https://www.glassdoor.com/Jobs/Case-Closed-Jobs-E12345.htm,"careers_page,indeed",,
Casebuilder,Public Safety,,https://www.soundthinking.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Casebuilder""&l=nan,CO",,https://www.glassdoor.com/Jobs/Casebuilder-Jobs-E12345.htm,"careers_page,indeed",,
Cellebrite,Public Safety,,https://apply.workable.com/cellebrite-1/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""Cellebrite""&l=nan,CO",,https://www.glassdoor.com/Jobs/Cellebrite-Jobs-E12345.htm,"careers_page,indeed",,
CentralSquare Public Safety Pro Suite,Public Safety,,https://centralsquare.com/careers/,Medium,careers_page,"https://www.indeed.com/jobs?q=company:""CentralSquare Public Safety Pro Suite""&l=nan,CO",,https://www.glassdoor.com/Jobs/CentralSquare-Public-Safety-Pro-Suite-Jobs-E12345.htm,"careers_page,indeed",,
